,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3096,3096,28924243,Guest suite in Amsterdam · ★4.79 · 1 bedroom · 1 bed · 1 bath,4297910,Geuzenveld - Slotermeer,52.38044,4.83816,Entire home/apt,90,3,90,2021-05-20,1.51,1,0,0
7830,7830,923979560168165568,Rental unit in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,146766943,Centrum-West,52.37594,4.89376,Entire home/apt,130,3,0,,,2,0,0
3102,3102,28973269,Guest suite in Amsterdam · ★4.86 · 2 bedrooms · 2 beds · 1 private bath,25681294,Zuid,52.3534,4.86534,Private room,129,3,23,2020-02-11,0.38,1,0,0
3104,3104,28984522,Guest suite in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,218465236,Slotervaart,52.36082,4.8238,Entire home/apt,90,3,3,2019-09-15,0.06,1,0,0
7832,7832,924002093892890757,Rental unit in Amsterdam · ★New · 3 bedrooms · 3 beds · 1.5 baths,229464835,Centrum-West,52.37011959965008,4.89296635481677,Entire home/apt,984,1,0,,,4,270,0
3043,3043,28167828,Bed and breakfast in Amsterdam · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,27644639,Centrum-West,52.37915,4.88627,Private room,139,2,71,2020-03-07,1.19,1,0,0
3041,3041,28146773,Rental unit in Amsterdam · ★4.93 · 1 bedroom · 2 beds · 1 bath,212603560,De Baarsjes - Oud-West,52.37268,4.86148,Entire home/apt,189,3,28,2020-03-09,0.46,1,0,0
7837,7837,924536164175541549,Rental unit in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,57296927,Bos en Lommer,52.37531021387261,4.863213806732451,Entire home/apt,210,3,0,,,1,4,0
2956,2956,27179290,Rental unit in Amsterdam · 1 bedroom · 1 bed · 1 bath,124195894,Oud-Oost,52.3587,4.92307,Entire home/apt,89,4,2,2018-08-16,0.03,1,0,0
7849,7849,925341225357535379,Rental unit in Amsterdam · ★New · 2 bedrooms · 2 beds · 1 bath,16531672,Bos en Lommer,52.383130010141,4.853312841562539,Entire home/apt,250,5,0,,,1,67,0
2967,2967,27379405,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,14072005,De Baarsjes - Oud-West,52.36616,4.86215,Entire home/apt,180,2,4,2021-09-19,0.08,1,13,0
7848,7848,925297583420063792,Condo in Amsterdam · ★New · 1 bedroom · 1 bed · 1.5 baths,47343375,De Pijp - Rivierenbuurt,52.35468072186888,4.889670025137604,Entire home/apt,280,1,0,,,1,169,0
2970,2970,27426691,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,5809919,Zuid,52.35059,4.8469,Entire home/apt,75,7,4,2021-07-18,0.07,1,0,0
2971,2971,27428560,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,16536809,Oud-Oost,52.36402,4.926,Entire home/apt,220,2,8,2019-10-20,0.13,1,0,0
2972,2972,27447278,Townhouse in Amsterdam · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,44937452,Westerpark,52.3836,4.86998,Private room,59,2,76,2022-04-17,1.24,1,0,0
2980,2980,27525864,Home in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,207546297,Oud-Oost,52.36434,4.92533,Entire home/apt,400,4,12,2020-08-03,0.2,1,0,0
2981,2981,27533135,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,6683167,Zuid,52.35048,4.84918,Entire home/apt,100,2,10,2021-07-25,0.16,1,0,0
2990,2990,27632457,Rental unit in Amsterdam · 1 bedroom · 1 bed · 1 bath,26109791,De Pijp - Rivierenbuurt,52.3554,4.89439,Entire home/apt,170,7,2,2022-08-13,0.15,1,91,0
3002,3002,27713691,Rental unit in Amsterdam · ★4.82 · 2 bedrooms · 2 beds · 1 bath,8748700,Bos en Lommer,52.37649,4.85998,Entire home/apt,150,3,22,2021-12-12,0.36,1,0,0
3004,3004,27744275,Rental unit in Amsterdam · ★4.73 · 1 bedroom · 1 bed · 1 bath,26639899,Bos en Lommer,52.38212,4.85716,Entire home/apt,99,2,12,2021-11-01,0.2,1,0,0
3012,3012,27795712,Rental unit in Amsterdam · ★4.75 · 2 bedrooms · 2 beds · 1 bath,43914462,Bos en Lommer,52.37598,4.85819,Entire home/apt,89,2,4,2022-05-20,0.07,1,0,0
7841,7841,924662775695105698,Home in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,474499350,Westerpark,52.38123512723958,4.874572661276199,Entire home/apt,229,2,0,,,1,0,0
3018,3018,27841791,Rental unit in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,59888670,Oud-Oost,52.35502,4.92333,Private room,80,2,72,2020-08-22,1.18,1,0,0
